0,(2019,2,27,2,11,30,0, 165765),25.78c ,30.2
1,(2019,2,27,2,11,30,1, 349080),25.78c ,37.3
2,(2019,2,27,2,11,30,2, 441659),25.78c ,32.7
3,(2019,2,27,2,11,30,3, 534182),25.77c ,27.6
4,(2019,2,27,2,11,30,4, 626810),25.77c ,19.6
5,(2019,2,27,2,11,30,5, 719436),25.77c ,23.9
6,(2019,2,27,2,11,30,6, 812077),25.76c ,23.4
7,(2019,2,27,2,11,30,7, 904737),25.76c ,39.3
8,(2019,2,27,2,11,30,8, 997338),25.76c ,38.7
9,(2019,2,27,2,11,30,10, 89921),25.76c ,32.7
10,(2019,2,27,2,11,30,11, 182510),25.76c ,35.1
11,(2019,2,27,2,11,30,12, 275055),25.76c ,40.9
12,(2019,2,27,2,11,30,13, 367949),25.75c ,60.3
13,(2019,2,27,2,11,30,14, 460514),25.75c ,62.5
14,(2019,2,27,2,11,30,15, 553201),25.75c ,65
15,(2019,2,27,2,11,30,16, 645893),25.75c ,64.9
16,(2019,2,27,2,11,30,17, 738648),25.75c ,54.6
17,(2019,2,27,2,11,30,18, 833909),25.75c ,65.5
0,(2019,2,27,2,11,30,19, 926590),25.75c ,60.8
1,(2019,2,27,2,11,30,21, 19273),25.75c ,60.1
2,(2019,2,27,2,11,30,22, 111961),25.75c ,58.5
3,(2019,2,27,2,11,30,23, 204588),25.74c ,54.8
4,(2019,2,27,2,11,30,24, 297268),25.75c ,52.7
5,(2019,2,27,2,11,30,25, 390061),25.89c ,51.3
6,(2019,2,27,2,11,30,26, 482726),26.26c ,48.3
7,(2019,2,27,2,11,30,27, 575331),26.63c ,48
8,(2019,2,27,2,11,30,28, 668052),26.95c ,50
9,(2019,2,27,2,11,30,29, 760750),27.24c ,53
10,(2019,2,27,2,11,30,30, 853832),27.47c ,51.4
11,(2019,2,27,2,11,30,31, 946697),27.67c ,49.7
12,(2019,2,27,2,11,30,33, 39609),27.83c ,54.3
13,(2019,2,27,2,11,30,34, 132544),27.96c ,61.4
14,(2019,2,27,2,11,30,35, 225544),28.07c ,61.2
15,(2019,2,27,2,11,30,36, 318490),28.16c ,58.7
16,(2019,2,27,2,11,30,37, 411622),28.23c ,60.6
17,(2019,2,27,2,11,30,38, 504478),28.29c ,54.3
0,(2019,2,27,2,11,30,39, 597360),28.34c ,61.4
1,(2019,2,27,2,11,30,40, 690243),28.37c ,48.3
2,(2019,2,27,2,11,30,41, 783065),28.40c ,48
3,(2019,2,27,2,11,30,42, 875946),28.42c ,50
4,(2019,2,27,2,11,30,43, 971215),28.44c ,53
5,(2019,2,27,2,11,30,45, 63634),28.45c ,51.4
6,(2019,2,27,2,11,30,46, 156141),28.46c ,49.7
7,(2019,2,27,2,11,30,47, 248820),28.47c ,54.3
8,(2019,2,27,2,11,30,48, 341575),28.47c ,61.4
9,(2019,2,27,2,11,30,49, 434264),28.48c ,61.2
10,(2019,2,27,2,11,30,50, 527067),28.46c ,58.7
11,(2019,2,27,2,11,30,51, 619910),28.31c ,60.6
12,(2019,2,27,2,11,30,52, 712692),28.14c ,54.3
13,(2019,2,27,2,11,30,53, 805421),27.98c ,61.4
